"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
407.8,4.433,407.8,1.414,435724.5720623803,,
413.3,4.395,413.3,1.247,379149.870701812,,
421.7,4.314,421.7,1.061,316170.71903806215,,
427.5,4.256,427.5,0.964,283367.9829764267,,
436.6,4.173,436.6,0.847,243786.43862487905,,
442.8,4.121,442.8,0.786,223061.59220610457,,
452.5,4.048,452.5,0.712,197729.41165577306,,
459.2,4.004,459.2,0.667,182529.81706832687,,
469.6,3.94,469.6,0.614,164304.7605880863,,
476.9,3.903,476.9,0.579,152567.17520893188,,
488.1,3.851,488.1,0.536,137995.79285590077,,
495.9,3.818,495.9,0.511,129490.12671783702,,
508.1,3.773,508.1,0.479,118466.67042468103,,
516.6,3.745,516.6,0.457,111165.91890751339,,
529.8,3.706,529.8,0.431,102229.25131726697,,
539.1,3.682,539.1,0.416,96969.21119594539,,
553.5,3.649,553.5,0.393,89224.63688244183,,
563.6,3.629,563.6,0.38,84727.12621462891,,
579.4,3.602,579.4,0.358,77645.16189058653,,
590.4,3.585,590.4,0.347,73857.22566366248,,
607.8,3.563,607.8,0.329,68021.32168680764,,
619.9,3.549,619.9,0.317,64261.00152850231,,
639.1,3.53,639.1,0.299,58791.18782183371,,
652.6,3.517,652.6,0.293,56419.65353979831,,
673.8,3.501,673.8,0.278,51847.00253475587,,
688.8,3.492,688.8,0.27,49258.42139774938,,
712.5,3.481,712.5,0.255,44974.37904086441,,
729.3,3.476,729.3,0.242,41698.36402954779,,
756,3.469,756,0.225,37399.912542735634,,
774.9,3.467,774.9,0.218,35352.54605665634,,
805.1,3.459,805.1,0.209,32621.68001988656,,
826.6,3.456,826.6,0.203,30861.03598735679,,
925,3.3962,925,0.0355,4822.769262808114,,
930,3.3905,930,0.0109,1472.8326849087634,,
935,3.385,935,0.0059,792.9581457189211,,
940,3.3797,940,0.00318,425.11764418789545,,
945,3.3746,945,0.000967,128.58921041360128,,
950,3.3696,950,0.000527,69.71028751333984,,
953.4,3.362,953.4,0.000281,37.03744642998666,,
960,3.36,960,0.0000739,9.673487379178571,,
965,3.3555,965,0.0000392,5.10468112002984,,
968.3,3.345,968.3,0.0000246,3.192530384315147,,
975,3.3467,975,0.0000113,1.4564101327411143,,
